,DE,FR,IT,ES,NL,CH,UK,PL,SE,NO,BE,AT,PT,DK,FI,IE
2013-08-31,0.14799672844482145,-0.05357933355574657,-0.42108177415895437,-0.6045483664414009,-0.4565467030459903,-0.7850875069263643,0.4407091444757918,-1.0341753624524377,0.7081083680938017,0.6805197682397592,-0.37702999771217705,-0.03145914219582827,-0.07932739337072027,-0.9593865050304459,-0.1558117284042395,-0.615846253847499
2013-09-30,0.14950069877851085,-0.04287038089627174,-0.3931737640775366,-1.1690364932167825,-0.37910847007696397,-0.8672210016880831,0.5926233260003119,-0.8067372712800093,0.7963881268555054,0.6559755239838876,-0.33252321498781373,0.04796896623751428,0.10314635338674921,-0.9628003761967583,-0.05016138470985961,-0.6082882870132315
2013-10-31,0.04849933959992521,-0.0978162937236042,-0.39483170807971163,-1.1468204992773072,-0.3037081539192242,-0.8980583865743654,0.40616725991749647,-0.8070367763094944,0.5875742458444273,0.6284562118957895,-0.32823417856540055,-0.048657965613145414,0.04110863599938423,-0.9171715247102731,-0.0777442813288707,-0.8210359329793462
2013-11-30,0.06293169145171151,-0.16530326592689998,-0.4425631163137251,-1.3883175549009992,-0.29963626857153763,-0.9107927955075775,0.5407350200814316,-0.6966884239452913,0.5456708861054336,0.45934510565628045,-0.3282341785654008,-0.06685580339774022,-0.18286707407242414,-0.9732074104921913,-0.07513005434158629,-0.7692997051984085
2013-12-31,0.3450600055825589,0.09281165093954251,-0.21587972539500302,-1.1390520820211802,-0.007834492996610843,-0.5444842200595112,0.6857553233086127,-0.6271512402972781,0.6099656022118217,0.47447907284410623,-0.20092902450737632,0.23618182536721205,-0.06360776861827742,-0.8312123332624834,0.22502987788900372,-0.9291416356011718
2014-01-31,0.08684899924664968,-0.04172314003671602,-0.25359773588433143,-1.0616556173981555,-0.3846650490802213,-0.1771532432371529,0.35564174593477654,-0.6536773802163571,0.4275169751825951,0.23902596903878826,-0.436990915483147,-0.07186424506590297,-0.22884355922621313,-0.0324131856361513,-0.09110734836122383,-1.2874724495752752
2014-02-28,-0.07081014669076012,-0.3218726473230787,-0.6389127968244818,-1.6027600056093867,-0.4602915601563747,-0.12635247993231033,0.0864318954740999,-0.6870083763464191,0.0411311515076519,-0.1159292022229174,-0.764399679121891,-0.26704156054484823,-0.46506729372338806,-0.34326422878496327,-0.35121702551421413,-1.756549549010115
2014-03-31,-0.04993755660860907,-0.3302427690859714,-1.0649426770678592,-1.6264779121774857,-0.48962881512432327,-0.1692883348465751,0.06572545705779997,-0.7177993166849395,0.05319938589348134,-0.05418162489889137,-0.8819186572856207,-0.4170834895018751,-0.5197625672386497,-0.28877406801787253,-0.5519056211465101,-2.0097088487891965
2014-04-30,-0.03763354589708572,-0.9071811081619436,-1.1982091419719387,-1.7133106350555334,-0.4040660007800921,-0.1691139274311411,-0.10337866132843988,-1.2366461093148495,-0.1889477192576028,-0.13781322220536685,-1.0975183314700914,-0.41674066654886666,-0.7728419015029113,-0.2837353812826759,-0.5722954049294371,-2.104871990076079
2014-05-31,-0.3702559002734372,-0.9521715748898957,-1.264674623963757,-1.900135898840157,-0.5731917803469777,-0.5498875409815397,-0.4296202586906636,-1.082273298853725,-0.4739375293871701,-0.2033194376788361,-1.1408460377505665,-0.745844418065121,-0.6633584996582559,-0.4995536880090276,-0.7471250251699152,-2.315191349807889
